No.	Traditional	Simplified	Variants	Stroke count	Pinyin	Meaning	Rk	Count	Running Count	Coverage	Examples
182	風	风		9	fēng	wind	60	182	31,833	0.792	颱, 飄, 颿, 颩, 颪
183	飛	飞		9	fēi	fly	92	92	36,021	0.896	飜, 飝
184	食	饣		9	shí	eat	30	403	23,700	0.590	飯, 飲, 餓, 餘, 餐, 養
185	首	首		9	shǒu	head	177	20	39,701	0.988	馗, 馘
186	香	香		9	xiāng	fragrant	142	37	38,770	0.965	馨, 馫
187	馬	马		10	mǎ	horse	26	472	21,969	0.547	馮, 馴, 馳, 駐, 驚
188	骨	骨		10	gǔ	bone	59	185	31,651	0.787	骼, 髒, 髀, 骿, 骾
189	高	高	髙	10	gāo	tall	147	34	38,944	0.969	髚, 髛
190	髟	髟		10	biāo	hair	48	243	29,286	0.729	髮, 鬚, 鬆, 鬍, 髦
191	鬥	鬥		10	dòu	fight	167	23	39,490	0.983	鬧, 鬪
192	鬯	鬯		10	chàng	sacrificial wine	211	8	40,174	1.000	鬰, 鬱
193	鬲	鬲		10	lì	cauldron	99	73	36,598	0.911	鬶, 鬷, 鬸
194	鬼	鬼		10	guǐ	ghost	73	141	33,916	0.844	魂, 魁, 鬽, 魄
195	魚	鱼		11	yú	fish	22	571	19,999	0.498	鯉, 鮑, 魛, 魜, 魝, 魞, 魟, 魠
196	鳥	鸟		11	niǎo	bird	13	750	14,384	0.358	鳫, 鳮, 鳱, 鳳, 鳴, 鳿, 雞, 鳴, 鴻, 鴛
197	鹵	卤		11	lǔ	salt	128	44	38,212	0.951	鹹, 鹼, 鹽
198	鹿	鹿		11	lù	deer	84	104	35,253	0.877	塵, 麃, 麋, 麉, 麟
199	麥	麦		11	mài	wheat	76	131	34,319	0.854	麴, 麵, 麱, 麨, 麺
200	麻	麻		11	má	hemp	148	34	38,978	0.970	麼, 魔
201	黃	黃		12	huáng	yellow	132	42	38,381	0.955	黊, 黌
202	黍	黍		12	shǔ	millet	123	46	37,989	0.945	黏, 黎
203	黑	黑		12	hēi	black	63	172	32,351	0.805	點, 黛, 黱, 黨
204	黹	黹		12	zhǐ	embroidery	212	8	40,182	1.000	黼, 黻
205	黽	黾		13	mǐn	frog	137	40	38,582	0.960	鼈, 黿, 鼆
206	鼎	鼎		13	dǐng	tripod	197	14	40,028	0.996	鼏, 鼒
207	鼓	鼓		13	gǔ	drum	124	46	38,035	0.946	鼗, 鼘
208	鼠	鼠		13	shǔ	rat	93	92	36,113	0.898	鼢, 鼣, 鼤
209	鼻	鼻		14	bí	nose	121	49	37,895	0.943	鼼, 鼽, 鼿
210	齊	齐		14	qí	even	182	18	39,795	0.990	齋, 齏, 齏
211	齒	齿		15	chǐ	tooth	67	162	33,004	0.821	齡, 齠, 齗
212	龍	龙		16	lóng	dragon	198	14	40,042	0.996	龖, 龘
213	龜	龟		16	guī	turtle	164	24	39,421	0.981	龝
214	龠	龠		17	yuè	flute	181	19	39,777	0.990	龣, 龤
